Tweet,Sentiment,Timestamp,Keyword,happy,sadness,surprise,anger
This is the man who gets into the office at  leaves by  takes  to get to the office dry cleans all his clothes has a cleaner doesnt have a wife or family to chase after  and he doesnt have timeI explained that I travel  hours each way every day to go to work I go to the gym more than he does I cook my meals I have a life and I have a house to look after,SURPRISE,3/5/2018 10:38,word1,21.75,-5.75,-3.25,4.25
This last week at school was nuts it was the first time that I can remember where I was putting in the hours in the lab really busting my ass classes are going well and I feel like it all ties in which I really like,ANGER,3/5/2018 10:57,word1,21.5,-6,-3.5,5.25
This surprised me because I know from TV ads that Ron Saxton is running for something or other,SURPRISE,3/5/2018 11:29,word1,21.25,-6.25,-2.5,5
This time unfortunately hed broken INTO the car already and was fishing things out,SADNESS,3/5/2018 11:32,word1,21,-5.25,-2.75,4.75
This was the best summer I have ever experienced,HAPPY,3/5/2018 12:45,word1,22,-5.5,-3,4.5
And then we watched in amazement with fifty other tourists as the sun went down in front of the temple over the Mediterranean,SURPRISE,3/5/2018 12:52,word1,21.75,-5.75,-2,4.25
This week I am totally going to start my Christmas shopping,HAPPY,3/5/2018 13:05,word1,22.75,-6,-2.25,4
This week was mucho fun,HAPPY,3/5/2018 13:25,word1,23.75,-6.25,-2.5,3.75
Those evenings on the steps are some of my favorite memories from Paris,HAPPY,3/5/2018 13:57,word1,24.75,-6.5,-2.75,3.5
those pegs are hard to push back in especially the E string peg that was a real bitch,ANGER,3/5/2018 14:04,word1,24.5,-6.75,-3,4.5
though i do not mind this one tiny bit it has been odd for meim rarely the strong one,SURPRISE,3/5/2018 14:15,word1,24.25,-7,-2,4.25
Three angry customers as a matter of fact that last week alone at Pier  was the only week where I met troublesome customers,ANGER,3/5/2018 14:22,word1,24,-7.25,-2.25,5.25
Three people have been laid off at the office in the past hour,ANGER,3/5/2018 16:03,word1,23.75,-7.5,-2.5,6.25
three very dear friends of mine have lost very important people in their lives and i have had to be the strong one they can lean on,SADNESS,3/5/2018 17:09,word1,23.5,-6.5,-2.75,6
Thursday was like really fun,HAPPY,3/5/2018 17:21,word1,24.5,-6.75,-3,5.75
And then just the other day I was driving down  on the way to college listening to  and a beautiful song came on that I had not heard before,HAPPY,3/5/2018 17:34,word1,25.5,-7,-3.25,5.5
thus getting myself more pissed and less willing to finish what i was just trying to say,ANGER,3/5/2018 17:37,word1,25.25,-7.25,-3.5,6.5
To have something inside of you that you cannot control something foreign that has stolen away your chance of a normal life,SADNESS,3/5/2018 17:46,word1,25,-6.25,-3.75,6.25
Today rocks,HAPPY,3/5/2018 17:51,word1,26,-6.5,-4,6
Today Chels made me a sandwhich since she loves me and I had some soup so I feel better,HAPPY,3/5/2018 18:19,word1,27,-6.75,-4.25,5.75
too much rap and not enough rock for my taste but it was all good I was just happy getting out on the dance floor and getting my groove onlol,HAPPY,3/5/2018 18:36,word1,28,-7,-4.5,5.5
Sis was coming for a visit in Nov mom and dad decided to come along so now abit stress booking hotels and restaurants will be depressed when they all leave,SADNESS,3/5/2018 19:18,word1,27.75,-6,-4.75,5.25
trying to keep my rational and logical mind from straying to bad thoughts about how stupid the human race is and how religion is nothing but trouble,ANGER,3/5/2018 19:34,word1,27.5,-6.25,-5,6.25
Unhappy people,SADNESS,3/5/2018 19:56,word1,27.25,-5.25,-5.25,6
Vegas was a lot of fun,HAPPY,3/5/2018 20:16,word1,28.25,-5.5,-5.5,5.75
very disconnected to everyone and everything not sure where to go from here,SADNESS,3/5/2018 20:43,word1,28,-4.5,-5.75,5.5
Very odd and peculiar,SURPRISE,3/5/2018 20:44,word1,27.75,-4.75,-4.75,5.25
And they all seem to really enjoy their city,HAPPY,3/5/2018 20:45,word1,28.75,-5,-5,5
Visiting Bard was like a warm blanket,HAPPY,3/5/2018 22:11,word1,29.75,-5.25,-5.25,4.75
Vive la France,HAPPY,3/5/2018 22:46,word1,30.75,-5.5,-5.5,4.5
Was I wrong to be taken aback by that,SURPRISE,3/5/2018 23:04,word1,30.5,-5.75,-4.5,4.25
was so awesome,HAPPY,3/5/2018 23:13,word1,31.5,-6,-4.75,4
Wash your damned hands,ANGER,3/5/2018 23:49,word1,31.25,-6.25,-5,5
Wayne says that the tension is unreal,ANGER,3/6/2018 1:54,word1,31,-6.5,-5.25,6
We are starting to get some interesting inquiries,HAPPY,3/6/2018 3:20,word1,32,-6.75,-5.5,5.75
We as a family are truly honoured,HAPPY,3/6/2018 3:32,word1,33,-7,-5.75,5.5
We encountered so many genuinely wonderful helpful content people,HAPPY,3/6/2018 3:55,word1,34,-7.25,-6,5.25
And this particular piece was by far the best play I have EVER seen,HAPPY,3/6/2018 5:00,word1,35,-7.5,-6.25,5
We get drinks after work too and the food I can eat is awesome,HAPPY,3/6/2018 5:16,word1,36,-7.75,-6.5,4.75
We had a ball in Zurich,HAPPY,3/6/2018 5:29,word1,37,-8,-6.75,4.5
We had a good lunch with Gino Genelli icecream,HAPPY,3/6/2018 6:24,word1,38,-8.25,-7,4.25
We had a great time catching up and went out that night together as well,HAPPY,3/6/2018 6:53,word1,39,-8.5,-7.25,4
We had a wonderful time,HAPPY,3/6/2018 7:03,word1,40,-8.75,-7.5,3.75
We had a wonderful yummy cake fruit and veggie treats,HAPPY,3/6/2018 7:21,word1,41,-9,-7.75,3.5
We have been staying pretty close to home but still having a good time,HAPPY,3/6/2018 7:30,word1,42,-9.25,-8,3.25
We hung out in his car for the rest of the day talking and laughing,HAPPY,3/6/2018 8:09,word1,43,-9.5,-8.25,3
and try and sympathize with those being racially profiled ahead of me and making for an even longer wait in line,SADNESS,3/6/2018 8:35,word1,42.75,-8.5,-8.5,2.75
We just celebrated  great months on the  and last night we carved pumpkins she brought me a pumpkin it was pretty sweet,HAPPY,3/6/2018 9:04,word1,43.75,-8.75,-8.75,2.5
We live in a society that has encourages us to stuff our emotions and a society that is by the most part feelings illiterate,SADNESS,3/6/2018 11:35,word1,43.5,-7.75,-9,2.25
We offered to do Aaron too but he just laughed and shook his head,HAPPY,3/6/2018 11:37,word1,44.5,-8,-9.25,2
We played fun baby games and caught up on some old times,HAPPY,3/6/2018 11:41,word1,45.5,-8.25,-9.5,1.75
We really had a ball in Paris,HAPPY,3/6/2018 12:08,word1,46.5,-8.5,-9.75,1.5
We saw Jessicas production of Medea and were treated incredibly well by her colleagues at the festival,SURPRISE,3/6/2018 12:31,word1,46.25,-8.75,-8.75,1.25
We stayed in a tiny mountain village called Droushia and these people brought hospitality to incredible new heights,SURPRISE,3/6/2018 12:47,word1,46,-9,-7.75,1
We went on a walking tour went to the City Museum located in an old castle very cool and had a good time relaxing and enjoying the AMAZING views,HAPPY,3/6/2018 12:53,word1,47,-9.25,-8,0.75
We went to Versailles we went to Notre Dame and on a fabulous bike tour,HAPPY,3/6/2018 13:09,word1,48,-9.5,-8.25,0.5
And who would be the bastard who profits off of the destruction of my workplace and life,ANGER,3/6/2018 13:56,word1,47.75,-9.75,-8.5,1.5
WE WERE TOTALLY AWESOME,HAPPY,3/6/2018 14:18,word1,48.75,-10,-8.75,1.25
We were up there for awhile and Idk why or how but Ryan pushed me off of this bench and I fell flat on my back scraping my hip up which hurts ha,SADNESS,3/6/2018 14:28,word1,48.5,-9,-9,1
We won by several of points,HAPPY,3/6/2018 15:07,word1,49.5,-9.25,-9.25,0.75
Well just have to drag her down to the rink one of these days lol,HAPPY,3/6/2018 15:51,word1,50.5,-9.5,-9.5,0.5
well just let our governments do whatever the fuck they want because we want to brush our fucking teeth on a plane after some really bad airplane food,ANGER,3/6/2018 16:12,word1,50.25,-9.75,-9.75,1.5
were friends and lovers and everything inbetween that,HAPPY,3/6/2018 16:14,word1,51.25,-10,-10,1.25
Were still together and we still have the opportunity to make things right    but Im a very patient person and its been close to  years now and my patience is wearing thin,SADNESS,3/6/2018 16:35,word1,51,-9,-10.25,1
Well Im finishing up my first week at Jubans its really awesome,HAPPY,3/6/2018 16:48,word1,52,-9.25,-10.5,0.75
Well any advice on writing would be appreciated,HAPPY,3/6/2018 16:58,word1,53,-9.5,-10.75,0.5
well give me two weeks and ill be out of here but for now its good,HAPPY,3/6/2018 16:59,word1,54,-9.75,-11,0.25
And I do ask who profited from  in the first place,ANGER,3/6/2018 17:12,word1,53.75,-10,-11.25,1.25
Well great,HAPPY,3/6/2018 17:14,word1,54.75,-10.25,-11.5,1
well I could splurge,HAPPY,3/6/2018 18:19,word1,55.75,-10.5,-11.75,0.75
Well Im surprised that I actually found it,SURPRISE,3/6/2018 18:21,word1,55.5,-10.75,-10.75,0.5
Well not so much an orgy but really rather amusing,HAPPY,3/6/2018 18:29,word1,56.5,-11,-11,0.25
Well the new dog Louis went running out onto the patio and barking up a storm as I stuck my head out there sat this stupid young dude trying to break into my neighbors across the street car,ANGER,3/6/2018 18:33,word1,56.25,-11.25,-11.25,1.25
Welp today has been a long tiring day lol,HAPPY,3/6/2018 18:47,word1,57.25,-11.5,-11.5,1
Whahahaha I nearly cracked myself and dont think I didnt blush,HAPPY,3/6/2018 18:56,word1,58.25,-11.75,-11.75,0.75
What a fabulous gift for dad on his birthday,HAPPY,3/6/2018 19:50,word1,59.25,-12,-12,0.5
What a ridiculously awesome time I had yesterday,HAPPY,3/6/2018 19:53,word1,60.25,-12.25,-12.25,0.25
What an incredible end to an incredible journey,SURPRISE,3/6/2018 20:03,word1,60,-12.5,-11.25,0
what do you care if all ours are all bad,ANGER,3/6/2018 20:36,word1,59.75,-12.75,-11.5,1
what surprised me most geekin it up was the frequency of the rumbles,SURPRISE,3/6/2018 21:20,word1,59.5,-13,-10.5,0.75
What the hell am I going to do when I get back home,ANGER,3/6/2018 21:39,word1,59.25,-13.25,-10.75,1.75
what the helllll,ANGER,3/6/2018 22:57,word1,59,-13.5,-11,2.75
What they like to eat what music they like etc And I dont,HAPPY,3/6/2018 23:09,word1,60,-13.75,-11.25,2.5
Another interesting element was the latent patriotism that emerged during the Cup,SURPRISE,3/6/2018 23:18,word1,59.75,-14,-10.25,2.25
Whats even worse its copied so poorly that the last half inch of text on the far right side of the page is cut off so as I try to read in preparation for the lab tomorrow Im trying to coherently complete sentences and make sense of it all which is often impossible because so much is left out,ANGER,3/6/2018 23:31,word1,59.5,-14.25,-10.5,3.25
When others are angry or upset with us we can also use this technique on them,ANGER,3/6/2018 23:46,word1,59.25,-14.5,-10.75,4.25
When the night has been too lonely and the road has been too long,SADNESS,3/7/2018 0:05,word1,59,-13.5,-11,4
when you annoy us long enough NO ONE WILL CARE ABOUT RESTRAINT,ANGER,3/7/2018 0:33,word1,58.75,-13.75,-11.25,5
When your Trainer comes into the room all smiles after lunch and announces that she moved up ONE level From ABT Trainer  to ABT Trainer,HAPPY,3/7/2018 0:40,word1,59.75,-14,-11.5,4.75
Where they will decide to place me is up to them as long as I get the job Ill be really happy,HAPPY,3/7/2018 0:43,word1,60.75,-14.25,-11.75,4.5
Which I am so happy for,HAPPY,3/7/2018 2:06,word1,61.75,-14.5,-12,4.25
Another slight parallel I find amusing Jason played Heracles in Alcestes last year just as I am playing Hippolyta in A Midsummer Nights Dream,HAPPY,3/7/2018 2:06,word1,62.75,-14.75,-12.25,4
which is crazy good especially if Im living with Andrea who only asks for internet hydro and food,HAPPY,3/7/2018 2:12,word1,63.75,-15,-12.5,3.75
which is one of the slow songs i got to dance with one of my friends Nick who graduated Mathews last yearHes awsome we danced alot togetherLuvs,HAPPY,3/7/2018 2:22,word1,64.75,-15.25,-12.75,3.5
which is worse than pissing us off,ANGER,3/7/2018 2:33,word1,64.5,-15.5,-13,4.5
While I was in lakewood I surprised Brian and we met Scooty for lunch suprised him too,SURPRISE,3/7/2018 3:03,word1,64.25,-15.75,-12,4.25
Anyhow her dad asked her then at the table but why would you be angry with your dad,ANGER,3/7/2018 3:14,word1,64,-16,-12.25,5.25
Who is going to buy this sort of prediction and futures,ANGER,3/7/2018 4:16,word1,63.75,-16.25,-12.5,6.25
whoot,HAPPY,3/7/2018 4:54,word1,64.75,-16.5,-12.75,6
why cant i just be happy with good enough,HAPPY,3/7/2018 5:05,word1,65.75,-16.75,-13,5.75
Win win,HAPPY,3/7/2018 6:40,word1,66.75,-17,-13.25,5.5
with a smile ofcourse,HAPPY,3/7/2018 7:16,word1,67.75,-17.25,-13.5,5.25
Within a week I bid on and won about  cookie jars,HAPPY,3/7/2018 10:38,word1,68.75,-17.5,-13.75,5
Wooo,HAPPY,3/7/2018 10:39,word1,69.75,-17.75,-14,4.75
Woot I finally got an ipod with video,HAPPY,3/7/2018 11:11,word1,70.75,-18,-14.25,4.5
Woot,HAPPY,3/7/2018 11:38,word1,71.75,-18.25,-14.5,4.25
Words like that made me and Phil stop smiling look straight at Sheldon and say shut up at the same time,ANGER,3/7/2018 12:15,word1,71.5,-18.5,-14.75,5.25
Yoga at Ibiza was AWESOME didnt want to leave,HAPPY,3/7/2018 12:45,word1,72.5,-18.75,-15,5
anyways i wont b here all weekend i will b in penn state with a bunch of male bleeders and my brother lol so there ttyl byes,HAPPY,3/7/2018 13:36,word1,73.5,-19,-15.25,4.75
Work is going well I suppose most people are nice and Ive been warned of which ones are better to avoid,HAPPY,3/7/2018 14:22,word1,74.5,-19.25,-15.5,4.5
Wow I hardly ever have plans,SURPRISE,3/7/2018 14:53,word1,74.25,-19.5,-14.5,4.25
Wow,HAPPY,3/7/2018 15:05,word1,75.25,-19.75,-14.75,4
wowo,HAPPY,3/7/2018 15:15,word1,76.25,-20,-15,3.75
YAY,HAPPY,3/7/2018 15:36,word1,77.25,-20.25,-15.25,3.5
YAY,HAPPY,3/7/2018 15:41,word1,78.25,-20.5,-15.5,3.25
Anyways on Monday I got to see some of my favourite people and that was really fun as well  Go Augustine Inc,HAPPY,3/7/2018 16:13,word1,79.25,-20.75,-15.75,3
Yeah I know right up there with Custer laughing off a few measly Indians,HAPPY,3/7/2018 16:58,word1,80.25,-21,-16,2.75
Yes injuries can happen but as a former catcher its the most exhilarating play in sports,HAPPY,3/7/2018 17:13,word1,81.25,-21.25,-16.25,2.5
Yes we are having a small celebration today,HAPPY,3/7/2018 17:37,word1,82.25,-21.5,-16.5,2.25
Yet often that temporary happiness is more intense then a balanced contentment,HAPPY,3/7/2018 18:06,word1,83.25,-21.75,-16.75,2
You actually enjoy driving around rotaries,HAPPY,3/7/2018 18:17,word1,84.25,-22,-17,1.75
You begin to prepare yourself to hear bad news and immediately go into self preservation mode to plan out your next move,SADNESS,3/7/2018 19:34,word1,84,-21,-17.25,1.5
You can handle high school drama Also I have so many friends and all of them are true caring trustworthy friends who love me and are supporting me,HAPPY,3/7/2018 19:44,word1,85,-21.25,-17.5,1.25
You cant beat them you cant yell and foam at the mouth but you cant ignore it either,ANGER,3/7/2018 19:44,word1,84.75,-21.5,-17.75,2.25
You explore for a little bit then WHOOPS,SURPRISE,3/7/2018 20:43,word1,84.5,-21.75,-16.75,2
Anywho I got really interesting fortunes,HAPPY,3/7/2018 21:15,word1,85.5,-22,-17,1.75
You have wonderful friends that love and cherish you,HAPPY,3/7/2018 21:59,word1,86.5,-22.25,-17.25,1.5
you know the one where it has a shocked expression w pumpkin guts coming out of its mouth,SURPRISE,3/7/2018 22:05,word1,86.25,-22.5,-16.25,1.25
YOU LIKE ALMOST HIT ME OMG she said tossing her dyed blonde hair like an enraged horse nostrils flaring,ANGER,3/7/2018 22:15,word1,86,-22.75,-16.5,2.25
you made this trip amazing and i dont know what im gonna do without you,HAPPY,3/7/2018 22:45,word1,87,-23,-16.75,2
Youre happy cause you smile but how much can you fake,HAPPY,3/7/2018 22:47,word1,88,-23.25,-17,1.75
Youve bragged about the money youve saved at The Christmas Tree Shop You know what a regular coffee is You actually get these jokes and pass them on to other friends from Massachusetts,HAPPY,3/7/2018 23:16,word1,89,-23.5,-17.25,1.5
Youve gotta say Im a human being goddammit,ANGER,3/7/2018 23:26,word1,88.75,-23.75,-17.5,2.5
youve killed less people in the last six years than we did to ourselves in a week in,ANGER,3/7/2018 23:32,word1,88.5,-24,-17.75,3.5
Anywho this balloon man was awesome,HAPPY,3/7/2018 23:54,word1,89.5,-24.25,-18,3.25
Anywho Today was fun,HAPPY,3/8/2018 0:32,word1,90.5,-24.5,-18.25,3
Appleseed is another Anime movie I loved,HAPPY,3/8/2018 0:34,word1,91.5,-24.75,-18.5,2.75
Argh,ANGER,3/8/2018 0:38,word1,91.25,-25,-18.75,3.75
As far as i can tell it was a success,HAPPY,3/8/2018 1:07,word1,92.25,-25.25,-19,3.5
As for Eff he got You will find the road to happiness by helping others,HAPPY,3/8/2018 1:10,word1,93.25,-25.5,-19.25,3.25
As I have said before I am happily not taking a class this semester but these two particular functions were ones that were not to be missed,HAPPY,3/8/2018 1:15,word1,94.25,-25.75,-19.5,3
love u hun,HAPPY,3/8/2018 1:16,word1,95.25,-26,-19.75,2.75
As long as he is happy,HAPPY,3/8/2018 1:29,word1,96.25,-26.25,-20,2.5
As noted in the latest issue of US News  World Report new polling has Republican insiders feeling pretty darn good about turning out their folks this fall with confidence that they will vote to return their partys elected officials to power,HAPPY,3/8/2018 2:07,word1,97.25,-26.5,-20.25,2.25
As of late it seems that everything my parents do they do it just to annoy me Theyre great parents,ANGER,3/8/2018 2:57,word1,97,-26.75,-20.5,3.25
as unexpectedly and elusively as the innernets appear SO DO THEY STOP DISAPEAR,SURPRISE,3/8/2018 3:22,word1,96.75,-27,-19.5,3
As you can tell my day has been nothing short of tremendous,HAPPY,3/8/2018 3:28,word1,97.75,-27.25,-19.75,2.75
As after all society has been developed to shift blame and anger ad infinitum,ANGER,3/8/2018 3:29,word1,97.5,-27.5,-20,3.75
At first one of my housemates thought about possibly buying a new fridge for themselves but that idea was sadly left behind due to monetary issues,SADNESS,3/8/2018 3:50,word1,97.25,-26.5,-20.25,3.5
Awakening Comics  by Steve Peters  friends I reviewed his The Origin of Sparky a few weeks ago having walked away from the table and indeed the entire convention I suddenly realized that Id forgotten to actually tell Steve Peters who I was  another triumph of intellect,SURPRISE,3/8/2018 3:53,word1,97,-26.75,-19.25,3.25
at least I had a blast,HAPPY,3/8/2018 4:36,word1,98,-27,-19.5,3
Backing out of that driveway getting further and further away from you was one of the hardest things Ive ever had to do,SADNESS,3/8/2018 4:45,word1,97.75,-26,-19.75,2.75
Bad new,SADNESS,3/8/2018 5:23,word1,97.5,-25,-20,2.5
Bagpiping got moved to one of our together nights so that puts a small damper on the time we see each other for every week,SADNESS,3/8/2018 5:24,word1,97.25,-24,-20.25,2.25
Basically I just want to focus on staying busy and staying happy,HAPPY,3/8/2018 5:52,word1,98.25,-24.25,-20.5,2
because when you piss us off we have to used measured restraint,ANGER,3/8/2018 6:48,word1,98,-24.5,-20.75,3
because you are ANNOYING US,ANGER,3/8/2018 7:15,word1,97.75,-24.75,-21,4
Been seeing so many good friends and refilling my cellphone contacts,HAPPY,3/8/2018 7:21,word1,98.75,-25,-21.25,3.75
being alienated being alone,SADNESS,3/8/2018 7:25,word1,98.5,-24,-21.5,3.5
Besides all of that Ive been feeling great,HAPPY,3/8/2018 8:15,word1,99.5,-24.25,-21.75,3.25
Hailey recieved many gift cards because I couldnt bring that much on the plane back home and cute baby clothes and toys,HAPPY,3/8/2018 8:42,word1,100.5,-24.5,-22,3
